A	ぁ,ァ
hito	傭,凖,匡,弌,獨,畴,疇,薺,鈞,齊,等,民,史,独,準,仁,斉,人,一,智
hitoasi	儿
hitoe	單,褝,襌,単
hitomi	眸,睛,瞳
hitomosi	鐙
hitori	孑
hitorimono	煢
hitosi	欽,齊,均,整,倫,仁,斉,斎,平
hitotu	壱,壹,弌,一
hitoya	圄,圉,牢
hitu	匱,弼,拂,櫃,泌,畢,疋,篳,謐,蹕,逼,鵯,払,匹,必,筆
hitugi	柩
hitugiguruma	轜
hituzi	羊,未
hituzisaru	坤
hiuti	燧
hiwa	鶸
hiya	凉,涼
hiyodori	鵯
hiyoko	雛
hiyorinotori	酉
hiza	膝
hizamazu	跪
hizi	肘,肱,臂,泥,土
hiziki	枅,欒
hiziri	聖
hizu	歪
ho	匍,匏,吠,吼,咆,咐,哮,哺,圃,埔,埠,堡,娉,帆,恍,惚,捗,枋,枹,燈,甫,畆,畝,穗,脯,舖,苹,菠,葆,葡,蒲,蜂,褒,褓,襃,譽,讃,讚,逋,鋪,鐫,雕,餔,鮑,鮒,鯆,黼,乾,峰,輔,法,浦,ホ,ほ,豊,彫,怖,灯,芳,歩,火,賞,捕,種,干,穂,舗,補,掘,反,宝,誉,布,緒,欲,秀,保
hoTU	法,堀,北
hobasira	檣,艢
hobi	統
hobo	畧,略
hoda	絆
hodo	觧,程,解
hodoko	施
hoe	吠,吽
hoga	敞,朖,朗
hogi	祝
hogo	夸
hoho	頬
hohu	屠
hoi	穂
hoka	佗,他,外
hoke	呆,惚
hoko	侘,戈,戛,戞,戟,桙,槊,殳,矜,鉈,鉾,鋒,矛,誇
hokodukuri	戈
hokora	祠
hokori	埃
hokoro	綻
hokosaki	鋩
hokotukuri	殳
hoku	剥,匐,攴,攵,曝,樸,濮,瀑,蔔,蹼,北
hokuro	痣,黶
hokuso	樮
homa	誉
homare	誉
home	稱,頌,誉,称
hon	叛,夲,奔,汎,洪,濆,焚,犇,畚,笨,繙,賁,飜,翻,幡,本,反,誉,品
hone	骨
hono	仄
honoo	焔,炎
hoo	頬,朴
hootuki	面
hora	洞
hori	塹,壕,濠,隍,堀
horo	泯,袰,亡,幌,滅
horobo	殱,殲
horoguruma	輜
hos	欲
hosaki	穎,頴
hosi	星,干
hosii	糒
hosiimama	亶,婬,恣,擅,淫,肆
hoso	細
hota	榾
hotaru	蛍,螢
hoti	弗
hoto	邉,邊,辺,程
hotoba	迸
hotogi	甌,罌,缶
hotohoto	殆
hotoke	佛,仏
hoton	殆
hotori	滸,濆,瀕,陲,阿
hotu	勃,拂,渤,發,払,発,上,北
hou	亨,俸,倣,勹,匏,匚,呆,咆,垉,堋,堡,娉,寳,寶,峯,幇,庖,弸,彭,彷,怦,抔,抛,捧,旁,朋,枋,枹,榜,汎,泙,泛,泡,滂,澎,瀑,炮,烹,烽,焙,琺,疱,皰,硼,磅,竝,篷,絣,繃,膀,舫,苞,苹,萌,萠,葆,蒡,蓬,蔀,蚌,蚫,蜂,袍,裹,褒,褓,襃,謗,豐,豹,迸,逢,鉋,鋒,靤,鞄,飽,髣,髱,魴,鮑,鳳,鴇,鵬,麭,奉,峰,朴,棚,縫,法,崩,豊,方,並,庄,胞,芳,訪,砲,防,封,放,包,宝,報,北,邦,保,抱
houdate	楔
houki	帚,彗,箒,莊,菷,荘
houmu	葬
hourensou	菠,薐
hozisi	脩,脯,膊
hozo	臍
hu	仆,俘,俛,俯,俾,偃,傅,吩,咐,嘘,圃,坿,埠,嬰,孚,孵,巫,扶,拊,拭,撫,斑,斧,枹,柎,桴,榑,殍,殕,溥,牴,甫,畉,罐,罘,耽,脯,腑,臥,艀,芙,苻,葺,蒲,藉,蜉,觝,觸,訃,誣,譜,賦,賻,趺,跋,踐,蹂,蹈,躔,躙,躡,躪,逋,郛,酖,釡,鋪,附,餔,馮,鮒,鯆,鳧,鳬,麩,麸,黼,冨,符,膚,赴,践,輔,釜,浮,老,不,普,踏,化,父,降,フ,ふ,富,伏,噴,怖,殖,缶,部,生,婦,振,歩,船,風,負,五,夫,双,二,吹,敷,腐,福,付,増,府,布,文,触,阜,更
huTU	富,福
huda	榜,槧,牌,牒,牘,箋,札,二
hude	翰,聿,筆
hudedukuri	聿
hue	笙,笛,簫,籟,籥,鰾,龠
huge	鳳
hugo	畚
hugu	鮭,鰒
huigo	鞴
huiito	呎
huka	泓,浤,潭,鱶,深,外
huki	擽,苳,葺,蕗,吹,福
huku	匐,哺,巾,愎,箙,脹,茯,蔔,蝠,蝮,袱,輹,輻,逼,鞴,馥,鰒,服,幅,伏,覆,含,復,腹,膨,副,福,複
hukube	瓢
hukurahagi	腓
hukuro	嚢,梟,袋
humaki	帙
humi	册,翰,郁,冊,史,訓,人,章,文
humoto	梺,麓
humuto	梺
hun	刎,吩,吻,彬,忿,憤,扮,斌,枌,氛,汾,濆,焚,糞,芬,賁,墳,奮,噴,粉,雰,分,紛
huna	舩,鮒,舟,船
hunabata	舷
hunabei	舷
hunayosooi	艤
hundosi	褌,襠
hune	舩,舸,艘,槽,舟,船
huran	鞦,法
hurebumi	檄
huri	降,振
huru	慄,掉,篩,舊,顫,奮,震,降,旧,古,揮
hurutori	隹
huruzake	酋
husa	堙,塞,填,壅,妬,悒,惣,杜,欝,湮,總,錮,閼,雍,鬱,亮,角,方,総,房
husaga	阨
husagu	梗
huse	扞,捍,禦,臥,伏,防
husego	篝
husi	樶,伏,節
husidukuri	卩
husu	熏,燻
husuma	衾,襖,麩,麸
huta	弍,弐,盖,葢,蓋,貮,貳,雙,再,双,二
hutamono	盒
hutata	弍,再,二
hutatu	兩,雙,双,両,二
huti	淵,渊,潭,潯,祿,禄,渕,縁
hutido	縁
huto	太,肥
hutokoro	懷,懐
hutu	佛,弗,彿,怫,拂,沸,祓,蔽,髴,黹,黻,払,仏
huu	梵,楓,汎,瘋,諷,馮,鳳,冨,豊,富,風,夫,封,阜
huyu	古,冬
huyugasira	夂
huzi	藤
huzoro	徭
huzyu	藤
hya	ひゃ,ヒャ
hyaTU	百
hyaku	佰,劈,怕,擘,栢,碧,襞,霹,柏,百
hyakume	匁
hyan	香
hyo	ひょ,ヒョ
hyoku	愎,溽,皀,逼,雹,馥
hyou	冫,冰,凭,剽,嫖,并,彪,怦,慓,憑,杓,殍,澎,瓢,縹,繃,苞,萍,豹,迸,雹,飃,飄,飆,餅,餠,馮,驃,髟,鮃,鰾,氷,漂,表,標,俵,拍,兵,評,票,平
hyousigi	柝
hyu	ひゅ,ヒュ
hyuku	百
hyuu	彪,髟
i	云,亥,佗,倚,倭,偉,冶,凾,卯,噫,囗,圍,壬,壱,壹,夷,姨,娃,寢,尉,已,帷,幃,幾,庵,彙,彜,彝,徃,忌,怡,恚,惟,懿,揖,斐,斑,椅,檍,欹,洟,渭,炒,煎,熨,熬,爲,猗,猪,畏,痍,痿,瘉,眤,瞋,矣,縊,肄,苡,莞,萎,葦,蔚,藺,蛇,蝟,詑,詒,諱,謂,譱,豬,貽,逶,郁,醫,鋳,鑄,陀,靉,韋,頤,飴,餒,饐,鮪,鰄,函,炊,癒,緯,胃,胆,居,為,善,囲,角,相,維,異,子,伊,遺,入,易,凍,唯,李,合,行,生,上,い,移,衛,去,好,市,風,イ,医,良,出,五,往,慰,祖,肥,違,比,威,寝,斎,衣,位,会,井,容,飯,魚,十,告,活,一,委,府,依,埋,指,射,以,言,意,要
iTU	逸,一
ibara	棘,楚,荊,茨
ibari	溲,溺
ibiki	鼾
ibitu	歪
ibo	疣,肬,贅
ibu	熏,燻,指
ibuka	訝
ida	懷,懐,抱
ide	出
ido	誂,挑
idu	厳,出
ie	厦,廈,廬,宇,家
iedo	雖
iga	歪,毬
igamu	啀
igata	熔,范,鎔
igeta	韓
igurumi	弋
ihaya	窟
ihori	庵
ii	粲,謂,飯
ika	嗔,嚴,忿,恚,慍,爭,瞋,厳,怒,争
ikada	桴,槎,筏
ikade	怎
ikaduti	霆
ikame	儼
ikan	奈,那
ikanobori	凧
ikari	忿,碇,錨
ikaru	鵤
ikaruga	鵤
ikazuti	雷
ike	垳,池,生
ikenie	犧,犠
iki	或,气,氣,粋,粹,閾,伯,気,行,生,域,息
ikidoo	憤
ikio	勢
iko	偈,憇,憩
iku	墺,幾,拗,毓,澳,燠,礇,粥,郁,鬻,城,征,行,生,育
ikuha	的
ikusa	戰,戦
ikusabune	艟,艨
ima	今,未
imasi	勅,敕,箴,誡,飭,警,戒
imawa	忌
imina	諱
imo	芋,蕷,薯,藷
imomusi	蜀
imoto	姨
imouto	姨,妹
in	允,吽,咽,堙,姻,婬,寅,尹,廴,恁,慇,殞,殷,氤,淫,湮,笋,筍,胤,茵,蔭,蚓,贇,酳,隕,隱,霪,韵,韻,飮,鸚,印,因,員,陰,音,隠,引,院,飲
ina	稻,辞,否,員,稲,引
inada	鰍
inago	蝗,螽
inaka	田
inana	嘶
ine	禾,稻,稲
inisie	徃,往
innyou	廴
ino	猪,祷,祈,井,稲
inoko	豕
inosisi	猪,猯,豬
inoti	命
inti	吋
inu	戌,狗,犬
inui	乾
io	庵,廬,菴
iori	庵,廬,菴
ira	郎
irada	苛
iraka	甍
irezumi	黥
iri	圦,杁,煎,入,飯,西
irie	灣,湾
iro	色
irodo	彩
irodori	釆,采
irori	爐,鈩,鑪,炉
irotuti	堊
iru	入,一,日
iruka	鯆
isa	勳,諌,諍,諫,勇,威,石,砂,功
isagiyo	屑,潔
isaka	諍
isamu	勲
isao	勣,勳,悳,勲,功
isara	小
isasaka	些,聊
ise	竜
isi	眥,眦,石
isibumi	碣,碑
isidatami	甃
isiduki	鐓
isiyama	岨
isiyumi	弩
isizue	礎
iso	汐,礒,磯,勤,急
isoga	匆,惣,忙
isu	石
ita	俎,勞,廸,怛,恫,悵,惻,愴,慘,戚,摯,炒,疼,臻,詣,迪,悼,惨,傷,分,労,到,潮,至,痛,板,致
itada	戴,頂
itadaki	巓,顛,頂
itama	愴
itamu	悽
itaru	暢,迪,之,格
itati	鼬
itawa	勞,労
itazura	徒
iti	壱,壹,姪,弌,檪,櫟,聿,市,一
itigo	苺,莓
itinoku	九
ititahen	歹
itiziku	九
itiziru	著
ito	厭,穉,絃,絲,綸,縷,褸,伊,内,愛,糸
itogasira	幺
itoguti	緒
itokenai	稚
itoma	遑,暇
itona	營,営
itu	乙,佚,噎,壱,壹,姪,弌,揖,曷,汨,溢,稜,聿,軼,鎰,鴪,鷸,逸,厳,五,一
ituki	樹,斎
ituku	慈
itukusi	嚴,憮,厳
itutu	伍
ituwa	佯,僞,詭,譎,詐,偽
iu	誘
iwa	况,嵒,巌,巖,曰,矧,磐,岩,況,祝,石
iwao	巌,巖,磐,礒
iwasi	鰛,鰮,鰯
iwata	瀬
iwaya	窟
iwayuru	謂
iya	俚,卑,厭,彌,瘉,賎,賤,鄙,陋,癒,否,弥,嫌
iyasiku	苟
iyoiyo	彌,愈,逾,弥
iza	蹇,躄
izana	誘
izi	弄,苛
iziku	弄
izu	出,泉,和
izuku	焉
izukuni	惡,悪
izukunzo	惡,曷,渠,烏,悪
izumi	湶,泉
izure	孰
k	っ,ッ
ka	且,个,乂,乎,伐,伽,假,僞,價,凅,卦,厦,呀,呵,咀,咋,咥,咬,咼,哥,嗄,嗅,嘩,噛,噬,嚼,囓,囘,囮,堝,夥,夭,夸,孵,寡,崋,廈,彁,戈,挂,掻,搗,斯,曾,枷,柧,柯,榎,槁,樺,歟,涸,渦,渮,滓,爬,猟,獵,珂,珈,瑕,瓜,痂,禍,禾,窩,笳,箇,縣,繋,缺,罅,耶,胯,舁,舸,艾,芟,苅,苛,茄,萪,萱,葭,薙,蘭,虧,蚊,蚋,蝌,蝦,蝸,袈,裹,訛,訶,謌,譁,譌,變,谺,賈,賭,跏,跨,踝,軻,迦,遐,郁,錵,鍛,鍜,闕,顆,馥,馨,駈,駕,驅,鰕,黴,齧,伯,佳,冠,勘,哉,圭,嫁,枯,架,桂,狩,翔,菓,葛,鍋,霞,靴,鳥,坂,欠,化,下,彼,貨,香,替,開,代,県,換,回,夏,賀,カ,か,高,突,鹿,刈,嘉,掃,暇,飼,河,合,歌,火,積,上,白,科,花,買,個,課,梨,稼,鶴,可,何,三,也,偽,克,過,果,神,雅,駆,価,変,十,交,仮,兼,甲,荷,華,懸,我,掛,貸,日,書,加,海,和,支,借,描,勝,巨,家,川
kaTU	恰,葛,刈,河,合
kaba	庇,椛,樺,蒲
kaban	鞄
kabe	壁
kabi	黴
kabu	蕪,被,株
kabura	蕪,鏑
kaburaya	鏑
kaburi	頭
kabuto	兜,冑,胄,甲
kado	楞,稜,圭,角,門
kadu	一,和
kae	卻,栲,歸,皈,替,帰,返,反,還,却
kaede	楓,槭
kaeri	眄,眷,省,顧
kaeru	蛙
kaga	傴,僂,暉,曄,焜,煌,縢,跼,屈,鏡,各,利
kagami	鑒,鏡,鑑
kagamidai	魴
kagamitai	魴
kagan	鏡
kagari	篝
kagaribi	燎,篝
kagaya	旺,燿,耀,赫,輝
kage	翳,蔭,陰,影,景
kagi	亅,劃,勾,畫,鈎,鉤,鍵,鎰,鑰,限,画
kago	筐,筺,篭,簽,籃,籠,輿,轎,駕
kagu	神
kaho	薫
kahoru	薫,馨
kai	丐,乂,乖,亥,价,偕,傀,凱,剴,匯,卦,咳,咼,哇,喙,喟,囘,垓,塊,壞,夬,孩,屆,峽,嵬,廨,廻,徊,恠,恢,懈,懷,挂,揩,晦,會,枴,桧,椢,楫,楷,榿,槐,橈,檜,櫂,欸,歇,淮,漑,潰,獪,瑰,畍,畫,疥,皚,盖,粥,繪,罫,膾,艪,艾,芥,苅,茴,葢,蓋,薈,薊,薤,蛔,蟹,蠏,褂,觧,詮,詼,誡,誨,諧,豈,迴,邂,醢,醯,鎧,隗,鞋,頴,駭,骸,鬻,魁,鮠,鮭,鱠,堺,怪,懐,拐,柏,灰,貝,壊,街,開,回,介,刈,悔,皆,飼,競,階,快,会,戒,械,解,画,界,掛,改,海,絵,届
kaibaoke	櫪
kaigarabone	胛
kaiko	蚕,蠶
kaina	肱
kairi	浬
kaityuu	蛔
kaiyone	糴
kaka	嬶,繋,罹,關,関,拘,係,各,隠,抱,掲
kakaa	嚊,嬶
kakame	嚊
kakari	係,掛
kakato	踵
kake	賭,翔,掛
kakeba	齔
kakehasi	桟,棧
kakehi	筧
kakei	筧
kaki	堵,墻,柿,牆,硴,籬,蛎,蠣,上,垣,書
kakimono	帖,牘
kako	喞,圈,圍,埒,埓,囲,圏,託
kakotu	寓,詫,託
kakou	盖,葢,蓋
kaku	凅,劃,咯,喀,嚇,埆,塙,壑,幗,廓,恪,愨,挌,掴,撹,擱,擴,攪,攫,桷,梏,椁,槨,殻,殼,涸,淵,渊,潛,濳,烙,狢,瓠,畫,癨,矍,硅,碓,祕,竄,膈,膕,茖,藏,螫,蟄,蠖,覈,覺,貉,赫,钁,隱,霍,馘,駮,骼,鬩,鬲,鷽,穫,郭,角,拡,覚,核,蔵,閣,渕,潜,脚,隔,客,鶴,較,確,格,革,各,獲,隠,画,秘
kakuma	匿
kakusigamae	匸
kama	冓,炯,窯,窰,竃,竈,罐,蒲,釡,鑵,釜,鎌,缶,構,畑
kamabisu	呶,喧,嗷,嘩,噌,囂,聒,諠,譁,讙
kamado	爨,竃,竈
kamasu	叺,鰤
kamati	框
kame	瓷,甌,甕,缸,罌,龜,瓶,亀
kami	侍,帋,髮,髪,上,紙,守,頭,神
kamigasira	髟
kamikanmuri	髟
kamikazari	彡,珈
kaminari	雷
kamisimo	裃
kamo	樺,酎,醗,醸,釀,鳧,鳬,鴨,甘,神
kamome	鴎
kamosika	羚
kamozi	髢
kamu	齟
kamuro	禿
kan	丱,串,亘,亙,侃,凵,凾,刋,勸,卷,厂,咸,啣,喊,圜,坎,坩,堪,奐,奸,姜,姦,嫺,嫻,宦,寰,嵌,悍,愃,慳,憾,懽,戡,扞,拑,捍,揀,撼,敢,斡,旱,杆,柑,柬,栞,桓,桿,棺,樌,樺,橄,檻,款,歉,歡,浣,涵,淦,渙,湛,湲,潅,澗,澣,瀚,灌,煖,煥,燗,疳,癇,皖,盥,眩,瞰,稈,竿,箝,篏,綸,緘,繝,罐,罕,羮,羹,翰,舘,艱,苅,莞,莟,蒄,蚶,觀,諌,諫,讙,豢,轗,遑,邯,酣,鉗,銜,鐶,鑒,鑵,閑,關,陷,頷,顴,餡,駻,驩,骭,鬟,鰔,鰥,鸛,鹸,鹹,鼾,龕,乾,冠,函,勘,汗,漢,菅,患,康,関,換,完,金,間,韓,寒,寛,缶,艦,鑑,上,観,環,管,監,喚,干,甘,貫,陥,幹,館,慣,歓,肝,神,感,官,勧,甲,看,簡,還,巻,緩,刊
kana	乎,叶,哀,恊,稱,縢,諧,哉,適,金,愛,敵,銀,神,悲,称,奏
kanae	鬲,鼎,中
kanamari	鋺
kaname	要
kanara	必
kanba	樺,芳
kane	摂,攝,矩,釛,鉦,鍾,懐,謙,鎌,鐘,金,錦,銀,包,兼
kanegura	帑
kanezasi	矩
kanga	攷,稽,鑒,鑑,考
kani	蟹,蠏
kanmuri	冕,冠
kanna	鉋
kannagi	巫,覡
kannohaha	毋
kannuki	閂,關,関
kannyou	凵
kano	叶,彼
kanoe	庚
kanohoko	戈
kanoko	麑
kanoto	辛
kanou	叶
kanzasi	簪,釵,鈿
kanziki	橇
kanzou	萱
kao	薫,顏,馥,馨,香,顔
kaori	芬,薫,馨
kaorigusa	鬯
kaoru	彪,薫,郁,馨,芳
kappu	冠
kara	搦,樺,殻,殼,縢,辣,鹹,唐,辛,絡,方,韓,柄,空
karada	躯,躰,軆,體,体
karageru	紮
karai	苛
karaka	揶
karakuri	枢,樞,關,関
karamusi	苧
karanasi	奈
karansi	苧
karasi	芥
karasu	烏,鴉
karatati	枳
karazao	枷
kare	儂,渠,彼,伊
karei	餉,鰈,鰔
kari	假,權,猟,獵,甸,畋,苅,藉,雁,鳫,鴈,狩,刈,滑,仮,権
karigane	厂,雁,鳫,鴈
karimogari	殯
karizumai	寓
karo	藐,輕,唐,軽
karu	佻,劑,嫖,苅,輕,軽,剤
kasa	套,嵩,暈,疂,疉,疊,疽,痂,痒,瘍,瘡,瘻,盖,葢,蓋,傘,畳,笠,襲,重
kasane	褶
kasasagi	鵲
kase	枷,綛,稼,械
kasi	槝,樫,橿,爨,柏,傾,貸
kasiko	俐,畏,賢
kasima	囂,姦
kasira	仟,孟,頁,顱,魁,頭
kasiwa	怕,栢,槲,膳,柏
kasizu	傅
kasizuku	俾
kasu	掠,粕,糟,霞,春,微
kasugai	鎹
kasui	鷆,鷏
kasumi	霞
kasuri	絣,綛,緕,纃
kata	塙,淵,渊,牢,糢,艱,騙,鎌,像,固,方,議,剛,渕,型,形,肩,賢,難,堅,硬,語,容,潟,交,片,傾
katabu	傾
katado	象
katadoru	皃,貌
katagata	旁
katai	鞏
kataki	仇,敵
kataku	頑
katamari	團,塊,団
katame	瞎
katami	匪,筐,筺,互
katamu	仄,昃,傾
katana	釖,刀
katanu	袒
katasiro	尸
katati	皃,貌,躰,軆,頌,體,体,形
katatumuri	蝸
katawa	傍
katawara	旁
katayo	頗,偏
katazikena	忝
kate	粮,糧
kati	葛,徒,勝
katidoki	凱
katu	且,刮,剋,劼,喝,嘗,尅,戛,戞,戡,拮,捷,揩,擔,曷,曾,歇,渇,濶,猾,甞,瞎,磆,禊,筈,羯,聒,蛞,蝎,蠍,褐,豁,轄,闊,鞨,頡,鶻,黠,巧,桂,葛,将,健,達,雄,曽,担,克,括,滑,割,活,一,和,功,勝
katuo	鰹
katura	蘰,鬘,桂,葛
katuri	将,和
katute	曽
kau	耗
kawa	巛,晞,楊,渇,渝,熈,熙,獺,躱,逓,遞,銷,乾,代,河,煕,皮,革,側,交,川
kawagoromo	裘
kawagutu	鞨
kawara	瓦,甎,甓,磚,磧
kawarage	駱
kawasemi	翆,翠
kawauso	獺
kawaya	厠,廁,溷
kawazu	蛙
kaya	栢,榧,茅,茆,萱,茨
kayo	通
kayowa	孅
kayu	痒,癢,粥,餬,鬻
kaza	翳,餝,風,飾
kazari	錺,餝,文
kazasi	釵
kaze	風
kazi	囓,柁,楫,榜,橈,櫂,舵,齧,梶
kazika	鮖,鰍
kazo	數,数
kazu	壱,壽,數,胤,萬,葛,主,昭,千,万,員,憲,嘉,上,量,寿,一,計,宗,和,数
kazumi	昭
kazunoko	鯑
kazura	鬘,葛
kazutori	籌,籖,籤
ke	亟,假,價,卉,卦,咼,嘩,塊,廨,恠,恢,愾,懈,挂,旡,气,氣,瓜,痂,祁,稀,笥,罅,罫,膾,芥,葵,薊,袈,褂,襾,譁,蹴,迦,銷,閨,餉,鱠,圭,怪,気,化,明,異,ケ,け,子,花,宅,消,慶,毛,価,仮,華,計,懸,敬,希,恵,外,家
keba	毳
keda	盖,葢,蓋
kedamono	獣,獸
kega	涜,溷,穢,褻,黷,汚
kegawa	皮
kei	亰,偈,兮,冂,冏,剄,勁,勍,匸,卿,哇,夐,奎,奚,彑,彗,徑,惠,慧,憇,憩,憬,挂,挈,攜,枅,檠,渓,溪,炯,烱,煢,珪,瓊,畦,痙,盻,眤,矜,硅,磬,禊,稽,竟,竸,笄,絅,經,綮,繋,繼,罫,脛,茎,荊,莖,薊,蛍,螢,袿,褂,詣,謦,谿,蹊,蹶,輕,迥,逕,醯,閠,閨,頃,頚,頸,馨,髻,鮭,鴃,鶏,鷄,黥,佳,圭,桂,経,刑,軽,京,継,径,鏡,系,競,型,境,形,兄,啓,景,警,慶,係,携,計,傾,掛,敬,契,恵,掲
keigamae	冂
keigasira	彑
keki	屐,檄,覡,郤,闃,隙,鬩,鴃,鵙
kemi	閲
kemono	獣,獸
kemu	烟,煙
kemudasi	窗,窓
kemuri	烟,煙
ken	丱,串,俔,倦,倹,儉,剱,劍,劒,劔,劵,勸,卷,喧,圈,夐,妍,姦,娟,嶮,悁,惓,愃,愆,慊,慳,拑,拳,捲,掀,揀,搴,暄,柬,椦,檢,權,歉,涓,澗,煖,牽,狷,狽,獻,甄,痃,眷,瞼,硯,筧,箝,絢,絹,綣,縣,繝,繭,缺,羂,腱,臉,艱,萱,蒹,虔,蛯,蜆,蜷,衒,諠,謇,譴,讙,豢,蹇,釼,鉉,鉗,鍵,險,顯,顴,騫,驗,鰹,鵑,鹸,黔,乾,菅,謙,鎌,顕,遣,欠,県,険,健,献,間,見,券,憲,玄,軒,鉄,監,験,剣,嫌,犬,肩,賢,研,堅,検,件,兼,勧,圏,建,懸,巻,権
kena	穴
kenu	鑷
kenuki	鑷
kera	螻
keri	鳧,鳬
kesa	畩
kesi	岸
kesika	嗾
keta	桁
keti	决,劼,夬,纈,頡,結
ketu	亅,偈,傑,决,刔,厥,囓,夬,孑,抉,拮,挈,杰,桀,桔,楔,歇,獗,碣,竭,纈,缺,羯,蕨,袂,襭,覈,訐,訣,譎,蹶,闕,靹,頁,頡,鴃,齧,潔,欠,決,穴,結,血
kewa	峨,峩,峭,峻,嵒,嶇,嶢,嶮,巌,巖,陀,隗,險,険
keyaki	欅
kezu	刋,刪,刮,劑,戮,梳,削,剤,創
ki	乞,亟,伐,來,倚,僖,其,冀,决,几,刄,刋,剞,剪,匯,匱,卉,咥,唏,喟,噐,圻,奎,如,妓,嬉,屎,屓,嵜,幃,幾,弃,徽,忌,悸,愧,愾,憙,截,掎,揃,揆,效,斫,斬,旡,晞,暉,曁,曦,朞,杞,杵,枳,桔,棊,槎,槻,櫃,欷,欹,歸,毀,气,氣,汽,沂,淇,熄,熈,熙,熹,燬,犧,玖,畸,癸,皈,瞶,碕,祁,祇,祺,禧,稀,稘,窺,竒,箕,簣,籏,綺,羇,羈,羲,耆,耒,聽,葵,薊,虧,蟲,覊,覬,訊,詭,諱,譏,豈,跂,跪,逵,鐫,鑚,鑽,雉,飢,餽,饋,饑,馗,騎,騏,驥,鮨,鮪,鰭,麒,麾,龜,伎,伯,刀,刃,妃,姫,宜,峡,机,桐,棋,毅,磯,祈,肌,軌,鬼,棄,樹,公,気,聴,決,喜,芸,危,紀,キ,き,子,寄,吉,城,奇,効,極,生,材,帰,器,亀,畿,舗,虫,輝,黄,着,起,崎,規,消,慶,旗,既,煕,雲,置,基,空,聞,己,揮,犠,茂,木,切,企,次,利,埼,甲,記,季,酒,岐,希,貴,機,来,期
kiTU	橘,吉
kiba	牙
kibahen	牙
kibi	嚴,峭,禝,稷,踵,黍,厳
kibisi	凛,凜
kigamae	气
kihada	檗,蘗
kii	砥,給,基
kike	乞
kikime	效,効
kiko	樵
kikori	樵,蕘
kiku	掬,椈,聆,鞠,鞫,麹,聴,菊
kikuimusi	蠧,蠹
kimi	卿,辟,公,仁,君
kimo	膽,胆,肝
kimu	金
kin	亰,僅,听,噤,巾,忻,憖,懃,掀,擒,斤,槿,檎,欣,欽,瑾,皸,皹,矜,禽,窘,箘,箟,腱,芹,菫,衾,衿,襟,覲,謹,釁,釿,鈞,饉,麕,黔,龜,緊,公,京,勤,禁,今,金,均,菌,亀,錦,堅,琴,訓,近,筋
kine	杵
kiniiri	嬖
kinoe	甲
kinoko	茸,蕈
kinoto	乙
kinu	帛,絹,繭,衣
kinugasa	翳
kinuta	砧,碪
kinyou	几
kira	煌,燦,現,明,嫌,北
kirame	煌,燦
kire	巾
kiri	錐,桐,霧,切
kirigirisu	蛬
kirimi	臠
kiroguramu	瓩
kiromeetoru	粁
kirorittoru	竏
kiru	吉
kisa	象
kisaki	后,妃
kisasage	楸
kisi	垠,墺,崖,軋,輾,轢,岸
kiso	埆,竸,競
kissaki	鋩
kisu	鱚
kita	來,徠,鍛,阿,北,来
kitana	汚
kiti	佶,吉,詰
kitu	乞,佶,吃,屹,愾,拮,桔,橘,訖,譎,迄,頡,髻,吉,喫,切,詰
kitune	狐
kiwa	倪,窮,極,谷,究,際
kiwada	檗,蘗
kiyo	冽,匡,廉,洌,淨,瀏,瀞,皎,馨,圭,恭,淳,潔,澄,精,清,浄,聖,誠,貴
kiyon	慶
kiyosi	渙,圭,淳,潔,靖,忠
kiza	剞,萌,萠,雕,刻,兆
kizahasi	階
kizasi	萌
kizi	樸,雉
kizu	瑕,疵,痍,瘢,傷,築,創
kizuna	紲,絆,緤,縻
kko	児
ko	丐,个,乎,乕,乞,仔,估,倨,兒,冱,冴,凅,凝,刳,呱,哥,嘘,國,堪,壷,壺,夸,姑,媚,峺,弧,怙,憮,戀,扈,捏,據,杞,柧,桍,棹,楜,樵,此,沍,沽,涸,滬,滸,漉,漕,濾,炬,狐,琥,瑚,瓠,痼,皷,瞽,箇,箍,篭,籠,粐,糊,罟,股,胡,胯,菰,葫,虍,虎,處,蚕,蛄,蝴,蠱,蠶,袴,裾,觚,詁,谺,賈,跨,踞,踰,辜,逾,醐,鈷,鋸,錮,餬,鴣,鼓,弓,枯,桑,居,彦,樹,混,小,固,康,幸,香,越,コ,こ,子,金,高,超,東,庫,故,恋,粉,虚,誇,河,処,史,呼,請,児,去,好,個,戸,孤,懲,肥,黄,湖,濃,焦,国,放,神,古,娘,己,木,顧,込,巨,拠,雇,来,川
koba	拒
kobako	筺
kobati	碗
kobe	首
kobi	媚
kobo	毀,溢,零
kobu	瘤
kobura	腓
kobusi	拳
kodama	谺,魎
kodomo	竪,豎
koe	聲,腴,越,肥,声
kogarasi	凩
koge	芝
kogo	凝,跼,凍
koha	神
kohada	樸
kohaze	鞐
kohituzi	羔
koi	戀,醇,鯉,恋,肥
koinega	冀
koisi	礫
koke	苔,蘚,鱗
kokera	柿,苔,鱗
koko	此,爰,茲
kokoni	于,云,斯,曰,焉,粤,聿
kokono	九
kokoro	嘗,試,心
kokoroyo	快
kokoroza	志
kokorozasi	志
